>JGI1221J11331_10105342	A_1
>Ga0123333_100386392	A_2
>JGI26528J50254_10112171	A_3
>PBR_10169702	A_4
>Ga0157568_10406101	A_5
>Ga0097681_1000101173	A_6
>JGI26530J50255_10187641	A_7
>JGI26535J51212_10041159	A_8
>Ga0103264_10406412	A_9
>Ga0052179_10004630	A_10
>Ga0232059_11613202	A_11
>Ga0074605_10075713	A_12
>Ga0052186_100942064	A_13
>GBIDBA_100011995	A_14
>Ga0058694_10050182	A_15
>Ga0097681_100287814	A_16
>Ga0123328_10261002	A_17
>Ga0123356_100722493	A_18
>Ga0074195_10148723	A_19
>Ga0065721_100544527	A_20
>KiloMoana_100463412	A_21
>JGI12688J13320_1000152	A_22
>Ga0097681_10026741	A_23
>Ga0213865_100123822	A_24
>Ga0115572_1000072121	A_25
>Ga0075458_100015988	A_26
>Ga0075497_14925251	A_27
>Ga0153954_10039933	A_28
>Ga0232060_11655355	A_29
>Ga0180433_100381844	A_30
>Ga0157572_11137421	A_31
>Ga0079224_1000852931	A_32
>SL_4KL_010_BRINEDRAFT_100108934	A_33
>OZH52141.1 cytochrome C oxidase subunit I [Hydrocoleum sp. CS-953]	A_34
>Ga0153921_100007226	A_35
>JGI12698J15209_10001514	A_36
>Ga0154006_100001463	A_37
>Ga0157313_10005172	A_38
>Ga0079222_100316591	A_39
>Ga0123333_100902891	A_40
>SS_3KL_010_SOILDRAFT_100068554	A_41
>Draft_009498232	A_42
>Ga0115565_100171611	A_43
>JGI20206J14855_10006529	A_44
>Ga0214090_102306364	A_45
>Ga0079217_100060891	A_46
>Ga0193923_1003725	A_47
>Ga0055530_100137472	A_48
>Ga0157568_11231901	A_49
>Ga0055526_10083764	A_50
>Ga0194038_10270151	A_51
>Ga0075030_1000618254	A_52
>Ga0075030_1001472511	A_53
>SS_3KL_010_SOILDRAFT_100028074	A_54
>WP_070457556.1 cytochrome ubiquinol oxidase subunit I [Nosocomiicoccus sp. HMSC09A07]	A_55
>Ga0226661_100265241	A_56
>Ga0180040_10841414	A_57
>Ga0075496_10527331	A_58
>Ga0058698_101071961	A_59
>Ga0079219_100417591	A_60
>SS_2KS_010_SOILDRAFT_100572202	A_61
>PBR_10060953	A_62
>KiloMoana_100054667	A_63
>Draft_0003771	A_64
>Ga0066256_10053293	A_65
>Ga0123331_10313282	A_66
>Ga0206130_1000202214	A_67
>C688J18823_102029481	A_68
>Ga0180430_100140685	A_69
>ASV75506.1 Cytochrome c oxidase polypeptide I [Thermogutta terrifontis]	A_70
>JGI12210J13797_101186195	A_71
>Ga0079225_100164557	A_72
>Ga0097681_10000897	A_73
>Ga0206125_100049105	A_74
>Ga0214277_1097228114	A_75
>Ga0206124_100413381	A_76
>WP_012408468.1 cytochrome c oxidase subunit I [Nostoc punctiforme]	A_77
>Ga0180432_100267445	A_78
>Ga0206128_10505762	A_79
>WP_074655995.1 cytochrome c oxidase subunit I [Terriglobus roseus]	A_80
>Ga0079226_100189413	A_81
>Ga0065721_1004899414	A_82
>shallow_10007269	A_83
>Ga0115567_100272335	A_84
>Ga0123335_11224171	A_85
>Ga0115551_10362541	A_86
>Ga0180062_10024692	A_87
>Ga0055526_10006308	A_88
>Ga0075021_100537802	A_89
>Ga0153956_10361112	A_90
>Ga0074195_1000034258	A_91
>C688J18823_100219744	A_92
>Ga0079218_101599141	A_93
>Ga0124846_10328694	A_94
>Ga0157563_10786691	A_95
>Ga0180432_100969203	A_96
>Ga0134103_10236232	A_97
>KRP31797.1 cytochrome C oxidase, partial [Verrucomicrobia subdivision 6 bacterium BACL9 MAG-120820-bin42]	A_98
>Ga0075017_1000958032	A_99
>Ga0226659_1000206414	A_100
>Ga0194061_10568161	A_101
>A07AB_00470080	A_102
>Draft_0028693	A_103
>Ga0157562_11877643	A_104
>JGI26534J51046_100082028	A_105
>JGI12698J15209_10001453	A_106
>WP_013157141.1 cytochrome c oxidase subunit III [Meiothermus silvanus]	A_107
>Ga0153946_10129852	A_108
>Ga0182793_100001718	A_109
>Ga0079225_100496632	A_110
>Ga0134062_100091163	A_111
>Ga0160427_100407081	A_112
>Ga0153798_100073489	A_113
>ARU41931.1 cytochrome c oxidase subunit I [Armatimonadetes bacterium Uphvl-Ar1]	A_114
>Ga0180084_10113992	A_115
>WP_003021688.1 cytochrome o ubiquinol oxidase subunit I [Francisella tularensis]	A_116
>Ga0075024_1000204941	A_117
>Ga0081527_1005425	A_118
>Ga0115566_1000016328	A_119
>Ga0180040_10013141	A_120
>Ga0206123_100077162	A_121
>Ga0075517_15056221	A_122
>Ga0123355_105490651	A_123
>Ga0075032_10074661	A_124
>Ga0134112_100645301	A_125
>Ga0214258_101230563	A_126
>Ga0157339_10016341	A_127
>Ga0065720_10049279	A_128
>Ga0079215_100025171	A_129
>Ga0213859_100678681	A_130
>Ga0101558_10128997	A_131
>JGI12698J15209_10005121	A_132
>Ga0055526_100005084	A_133
>SS_3KL_010_SOILDRAFT_100064763	A_134
>Ga0134089_100034332	A_135
>KiloMoana_100647001	A_136
>Ga0212090_102125691	A_137
>Ga0074193_100031361	A_138
>Ga0123326_10005767	A_139
>Ga0194051_10007525	A_140
>OUU93189.1 cytochrome c oxidase subunit I [Planctomycetes bacterium TMED75]	A_141
>Ga0102734_10528301	A_142
>Ga0065698_10004040	A_143
>Ga0134070_1000085612	A_144
>Ga0134078_100521511	A_145
>Ga0055526_10130113	A_146
>Ga0079224_1001110763	A_147
>EchG_transB_7880CDRAFT_10004764	A_148
>Ga0055530_100032217	A_149
>SL_8KL_010_SEDDRAFT_100153003	A_150
>Ga0213860_100059976	A_151
>WP_014003321.1 cytochrome o ubiquinol oxidase [Acidithiobacillus caldus]	A_152
>JGI12109J20283_1016815714	A_153
>Ga0066255_100066716	A_154
>Ga0134082_100107744	A_155
>Ga0212088_100311334	A_156
>Ga0206125_100003749	A_157
>Ga0097691_10600271	A_158
>Ga0066256_10128413	A_159
>Ga0212090_100474314	A_160
>Ga0079223_101167612	A_161
>Ga0137463_10248052	A_162
>Ga0180438_1000151923	A_163
>Ga0137465_100063110	A_164
>Ga0134100_10024689	A_165
>Draft_05671511	A_166
>Ga0115553_10159271	A_167
>Ga0180430_100008673	A_168
>Ga0075479_1000078210	A_169
