>WP_041962734.1	C_1
>WP_046996017.1	C_2
>WP_006746613.1	C_3
>WP_013947318.1	C_4
>WP_028486973.1	C_5
>WP_045221420.1	C_6
>WP_009181190.1	C_7
>SCM73384.1	C_8
>WP_074008815.1	C_9
>WP_031480563.1	C_10
>WP_097012180.1	C_11
>WP_013122793.1	C_12
>WP_014322739.1	C_13
>WP_104425264.1	C_14
>PWL63931.1	C_15
>PLX41725.1	C_16
>WP_027361469.1	C_17
>WP_005999799.1	C_18
>WP_089274802.1	C_19
>WP_010960475.1	C_20
>OGQ56438.1	C_21
>WP_055454481.1	C_22
>OQX26933.1	C_23
>OYV45464.1	C_24
>WP_092345186.1	C_25
>WP_007526400.1	C_26
>OKY75433.1	C_27
>WP_021758457.1	C_28
>WP_022663291.1	C_29
>WP_014259422.1	C_30
>OCC15900.1	C_31
>WP_027186898.1	C_32
>WP_092210667.1	C_33
>WP_126379330.1	C_34
>WP_028581021.1	C_35
>WP_078683662.1	C_36
>ADW18859.1	C_37
>PLX84275.1	C_38
>WP_011791817.1	C_39
>WP_014321499.1	C_40
>WP_078790423.1	C_41
>WP_083517892.1	C_42
>WP_092061587.1	C_43
>WP_011366438.1	C_44
>OEU72851.1	C_45
>OYV28953.1	C_46
>WP_052464541.1	C_47
>AKV00502.1	C_48
>CBX31761.1	C_49
>WP_018124332.1	C_50
>WP_011342346.1	C_51
>WP_100394925.1	C_52
>PIE61269.1	C_53
>WP_015403776.1	C_54
>OQW97569.1	C_55
>WP_044348750.1	C_56
>WP_027180222.1	C_57
>PLY03712.1	C_58
>OFY99973.1	C_59
>PKO24929.1	C_60
>WP_074201727.1	C_61
>PLX93423.1	C_62
>SDO72770.1	C_63
>WP_015469359.1	C_64
>Ga0114922_100132166	C_65
>WP_069857280.1	C_66
>WP_015750909.1	C_67
>OIP44296.1	C_68
>WP_027176589.1	C_69
>WP_073378116.1	C_70
>WP_020878493.1	C_71
>WP_091137134.1	C_72
>WP_073614651.1	C_73
>OGQ85998.1	C_74
>PHR24451.1	C_75
>KPA16971.1	C_76
>WP_012830269.1	C_77
>Ga0172382_1000015281	E1_1
>2579692558	E1_2
>Ga0214108_113687494	E1_3
>Ga0082212_100121675	E1_4
>JGI12478J12828_10010965	E1_5
>2556199687	E1_6
>2556155581	E1_7
>2601103511	E1_8
>2518829976	E1_9
>WP_086013271.1	E1_10
>2524495627	E1_11
>WP_013733379.1	E1_12
>Ga0063331_1443522	E1_13
>WP_013731531.1	E1_14
>WP_013016393.1	E1_15
>WP_012891207.1	E1_16
>WOR8_100144536	E1_17
>Ga0114923_100533252	E1_18
>Ga0052161_1003474	E1_19
>OFW11649.1	E1_20
>JGI26049J44785_10009719	E1_21
>C688J18823_100899911	E1_22
>2561989067	E1_23
>Ga0075030_1001078252	E1_24
>WP_002647145.1	E1_25
>Ga0066255_100049235	E1_26
>Ga0212091_100036484	E1_27
>Ga0212088_100122906	E1_28
>WP_050058924.1	E1_29
>Ga0213882_100076282	E1_30
>Ga0123357_100013012	E1_31
>JGIcombinedJ13530_1012314924	E1_32
>JGI12630J15595_100026663	E1_33
>JGI25066J35082_1004373	E1_34
>644744302	E1_35
>KVWGV2_103476112	E1_36
>WP_018289733.1	E1_37
>2597408653	E1_38
>Ga0068638_1766121	E1_39
>Ga0214071_10610952	E1_40
>WP_015858847.1	E1_41
>JGIcombinedJ13530_1043732181	E1_42
>Ga0194053_100029376	E1_43
>OGV61092.1	E1_44
>IMNBL3_100007125	E1_45
>OLA84766.1	E1_46
>Ga0194045_10129233	E1_47
>Ga0232063_10820227	E1_48
>JGI25327J35509_10007903	E1_49
>Ga0068711_100037333	E1_50
>Ga0123357_100867512	E1_51
>Ga0068711_10036876	E1_52
>Ga0079306_100001452	E1_53
>Ga0212090_100519472	E1_54
>JGI20214J51650_100142603	E1_55
>JGI25321J50212_1000083124	E1_56
>Ga0212090_100135328	E1_57
>Ga0123356_101777361	E1_58
>Ga0079365_106124891	E1_59
>Ga0123356_100024174	E1_60
