>Ga0196980_100001287	nifDI_1
>Ga0370492_0002747_2842_4293	nifDI_2
>ESY87224.1	nifDI_3
>WP_044347161.1	nifDI_4
>PKM46061.1	nifDI_5
>Ga0316600_10000007178	nifDI_6
>Ga0316600_1000000419	nifDI_7
>Ga0194059_10035624	nifDI_8
>WP_039800831.1	nifDI_9
>WP_017314871.1	nifDI_10
>Ga0370502_0009598_837_2285	nifDI_11
>WP_162118140.1	nifDI_12
>Ga0187770_103037741	nifDI_13
>Ga0209640_100382463	nifDI_14
>Ga0247818_100650812	nifDI_15
>OUC14060.1	nifDI_16
>WP_060826054.1	nifDI_17
>PRSSGFe2_0427.00000080	nifDI_18
>WP_017320751.1	nifDI_19
>Ga0209927_10030692	nifDI_20
>WP_108262863.1	nifDI_21
>WP_046637801.1	nifDI_22
>WP_068515287.1	nifDI_23
>WP_011841506.1	nifDI_24
>WP_042217169.1	nifDI_25
>AAK26106.1	nifDI_26
>WP_009741524.1	nifDI_27
>NJO18068.1	nifDI_28
>OHE10899.1	nifDI_29
>WP_124938091.1	nifDI_30
>PKO85235.1	nifDI_31
>TAN59796.1	nifDI_32
>KFF41298.1	nifDI_33
>AXB87580.1	nifDI_34
>BISONQ_285600	nifDI_35
>WP_150039376.1	nifDI_36
>WP_124143225.1	nifDI_37
>WP_015044055.1	nifDI_38
>Ga0207854_10002973	nifDI_39
>WP_129963970.1	nifDI_40
>GBE11210.1	nifDI_41
>WP_012991467.1	nifDI_42
>WP_076601596.1	nifDI_43
>WP_009784198.1	nifDI_44
>WP_026971405.1	nifDI_45
>WP_022990314.1	nifDI_46
>WP_045682611.1	nifDI_47
>TAD88260.1	nifDI_48
>KJR40987.1	nifDI_49
>CDH46152.1	nifDI_50
>Ga0182738_100043616	nifDI_51
>Ga0079306_100001486	nifDI_52
>Ga0074045_101482371	nifDI_53
>WP_128634031.1	nifDI_54
>WP_161255976.1	nifDI_55
>WP_097278676.1	nifDI_56
>RZD17936.1	nifDI_57
>WP_015282050.1	nifDI_58
>Ga0315910_100198212	nifDI_59
>JGI24122J20155_10002184	nifDI_60
>WP_013323682.1	nifDI_61
>WP_013934596.1	nifDI_62
>WP_027417120.1	nifDI_63
>Ga0395804_0006613_8738_10192	nifDI_64
>WP_131747207.1	nifDI_65
>OGG94500.1	nifDI_66
>WP_059176982.1	nifDI_67
>WP_132872174.1	nifDI_68
>WP_055037708.1	nifDI_69
>Ga0138559_10045682	nifDI_70
>FeGluAir_100041002	nifDI_71
>ABU63085.1	nifDI_72
>P06662.2	nifDI_73
>HAN47011.1	nifDI_74
>WP_011388766.1	nifDI_75
>WP_026379577.1	nifDI_76
>BBD62857.1	nifDI_77
